sr,lat,lon
1,27.0,80.5
2,18.75,78.25
3,22.25,79.0
4,23.5,69.75
5,28.5,97.5
6,26.0,91.25
7,26.75,72.0
8,24.0,80.5
9,28.5,72.75
10,20.25,73.0
11,33.5,73.5
12,22.25,77.5
13,15.25,73.75
14,22.75,83.5
15,11.75,79.0
16,28.75,77.25
17,23.0,70.25
18,15.0,79.5
19,19.0,75.5
20,33.0,77.75
21,33.0,76.5
22,20.75,79.25
23,22.25,81.0
24,15.0,75.75
25,19.25,72.75
26,34.75,77.75
27,27.25,74.0
28,22.5,85.75
29,33.5,75.75
30,12.0,78.25
31,21.25,70.0
32,23.25,82.75
33,23.25,86.25
34,35.25,73.75
35,27.5,73.0
36,26.25,76.5
37,35.25,75.5
38,29.75,80.25
39,34.75,79.75
40,26.25,74.5
41,15.0,76.5
42,21.0,71.0
43,15.75,79.75
44,26.75,85.25
45,28.5,94.0
46,25.75,90.5
47,18.25,75.75
48,22.75,80.5
49,31.25,76.25
50,24.75,83.0
51,22.25,86.75
52,26.75,90.75
53,28.75,78.75
54,26.5,73.0
55,16.25,74.25
56,30.0,74.0
57,27.75,74.75
58,16.75,75.75
59,16.0,75.0
60,27.75,96.25
61,22.25,89.0
62,27.75,79.25
63,32.25,78.5
64,18.75,73.0
65,22.5,85.5
66,24.25,76.75
67,27.75,82.75
68,27.75,70.0
69,25.75,86.25
70,22.0,87.0
71,28.75,74.5
72,11.5,78.5
73,20.5,71.5
74,27.25,76.25
75,25.75,95.0
76,31.75,78.75
77,22.25,70.75
78,26.75,73.0
79,25.75,85.0
80,26.5,84.75
81,23.5,93.25
82,18.75,81.75
83,28.5,80.0
84,21.0,83.75
85,34.0,78.75
86,22.75,88.5
87,26.5,72.0
88,20.5,86.5
89,19.0,81.25
90,28.25,75.5
91,27.0,92.25
92,21.75,85.0
93,26.75,75.25
94,30.5,80.25
95,30.25,75.0
96,36.25,75.75
97,26.5,87.0
98,23.0,87.25
99,16.75,77.0
100,33.0,75.75
101,23.5,84.75
102,28.75,73.5
103,23.75,75.25
104,24.25,70.5
105,36.0,73.0
106,36.25,74.5
107,29.5,77.75
108,22.5,87.25
109,17.75,81.0
110,18.75,80.25
111,21.5,80.0
112,16.75,76.75
113,26.5,82.0
114,18.75,83.25
115,24.25,72.75
116,25.5,74.5
117,28.0,80.5
118,26.5,71.5
119,19.25,73.0
120,27.5,89.5
121,20.25,79.5
122,34.75,75.5
123,25.25,91.0
124,20.5,77.0
125,27.5,80.0
126,35.75,77.0
127,25.25,74.5
128,18.25,83.5
129,18.25,74.0
130,27.75,74.0
131,27.0,88.25
132,16.75,79.25
133,18.5,78.0
134,20.25,79.25
135,22.75,81.5
136,30.0,73.75
137,35.0,77.5
138,30.0,75.5
139,23.75,82.5
140,25.75,94.25
141,31.0,79.25
142,19.75,76.25
143,12.5,79.25
144,23.25,76.5
145,21.0,86.5
146,27.25,80.25
147,27.25,92.25
148,29.5,78.25
149,24.75,74.0
150,17.75,74.0
151,24.75,73.5
152,36.5,72.75
153,17.75,82.75
154,21.0,73.75
155,28.25,93.25
156,32.0,76.75
157,35.5,78.25
158,28.5,73.0
159,15.75,77.0
160,23.0,85.5
161,34.25,75.25
162,29.0,75.0
163,20.25,81.0
164,14.25,74.75
165,21.75,82.0
166,15.75,76.5
167,24.0,86.75
168,25.75,75.0
169,22.25,88.5
170,17.5,82.0
171,25.75,74.5
172,19.75,76.75
173,13.0,79.0
174,27.5,77.75
175,17.25,75.25
176,24.0,69.25
177,24.0,84.25
178,33.75,75.0
179,21.5,78.25
180,27.5,75.5
181,24.25,82.25
182,9.0,76.5
183,30.25,77.75
184,25.25,85.25
185,22.0,71.25
186,9.0,77.25
187,26.0,94.0
188,27.25,79.25
189,24.25,70.25
190,26.0,94.25
191,26.75,81.0
192,34.0,77.0
193,14.0,79.5
194,18.5,73.25
195,11.0,76.0
196,24.25,83.0
197,16.75,80.0
198,22.0,70.5
199,30.25,73.5
200,22.25,77.75
201,21.75,80.0
202,32.0,75.75
203,15.5,76.5
204,27.25,84.5
205,22.0,93.0
206,13.25,80.25
207,18.25,81.75
208,23.0,72.5
209,25.0,81.75
210,9.5,78.75
211,20.75,74.25
212,24.25,78.0
213,23.0,81.5
214,33.25,73.5
215,8.25,77.75
216,27.25,82.75
217,20.75,71.0
218,24.5,80.5
219,22.75,80.75
220,12.5,78.5
221,19.75,78.25
222,8.75,77.25
223,29.75,74.25
224,21.75,78.0
225,30.25,74.25
226,26.0,94.75
227,11.0,76.25
228,20.5,78.0
229,22.75,75.75
230,26.0,77.0
231,20.25,84.75
232,25.25,87.25
233,29.75,73.25
234,15.0,74.75
235,24.0,85.75
236,28.25,80.75
237,17.25,81.75
238,17.0,81.0
239,34.75,77.0
240,20.0,78.0
241,30.75,75.5
242,35.75,76.0
243,22.5,74.0
244,26.25,84.0
245,21.5,75.5
246,27.5,70.75
247,26.75,76.25
248,29.5,80.25
249,10.25,78.5
250,17.0,80.25
251,25.5,80.0
252,19.0,73.0
253,25.75,80.5
254,18.75,82.5
255,23.0,79.0
256,12.25,77.0
257,21.75,87.5
258,22.25,82.0
259,21.5,70.75
260,17.5,79.0
261,24.5,92.25
262,35.75,74.0
263,24.25,83.25
264,24.0,81.75
265,34.5,77.75
266,22.75,73.5
267,21.75,80.5
268,19.5,75.25
269,20.5,80.75
270,28.0,96.0
271,19.75,85.25
272,25.75,82.0
273,22.5,76.75
274,17.25,76.0
275,21.75,81.0
276,26.25,91.0
277,17.25,78.5
278,24.25,72.5
279,14.5,77.0
280,22.75,78.5
281,35.5,73.5
282,31.5,78.75
283,19.0,82.0
284,28.0,95.75
285,34.0,73.5
286,29.25,80.0
287,9.5,78.0
288,30.0,75.25
289,32.75,74.75
290,14.25,75.5
291,24.25,70.0
292,27.25,75.5
293,22.75,69.75
294,21.0,71.25
295,15.25,75.0
296,22.25,83.5
297,25.0,75.0
298,17.25,77.25
299,17.5,73.75
300,23.25,86.5
301,19.0,83.5
302,31.25,78.25
303,28.5,94.25
304,34.0,78.25
305,23.25,81.0
306,17.0,77.25
307,24.5,86.5
308,20.75,84.25
309,18.0,82.5
310,24.75,93.75
311,31.0,74.25
312,13.5,76.75
313,15.5,80.0
314,22.5,70.5
315,16.25,75.25
316,22.5,72.5
317,22.75,85.25
318,28.25,88.5
319,21.5,85.0
320,17.0,82.25
321,26.5,94.75
322,19.0,74.0
323,21.5,80.5
324,28.25,95.5
325,26.0,73.25
326,26.25,90.25
327,15.75,78.0
328,14.25,75.25
329,23.75,74.5
330,19.5,77.75
331,26.0,79.75
332,24.75,81.5
333,35.75,73.5
334,26.75,94.25
335,12.0,79.75
336,21.5,69.5
337,19.75,84.5
338,24.5,77.0
339,29.25,75.0
340,30.75,76.25
341,20.5,76.5
342,23.0,92.75
343,23.0,86.5
344,18.25,74.5
345,20.75,74.5
346,26.5,82.25
347,21.25,77.5
348,33.25,74.75
349,35.75,79.25
350,24.5,87.0
351,10.0,77.0
352,20.75,76.0
353,22.0,81.75
354,23.75,69.25
355,21.5,81.25
356,15.0,77.25
357,26.75,71.25
358,17.0,80.0
359,23.0,80.0
360,29.75,76.25
361,13.75,76.75
362,29.25,74.75
363,26.5,88.0
364,28.5,91.5
365,16.5,80.25
366,21.75,71.5
367,28.75,76.5
368,25.25,91.25
369,18.25,77.5
370,24.75,93.0
371,30.5,77.75
372,28.25,96.5
373,16.25,78.25
374,25.25,72.25
375,25.0,88.25
376,29.5,73.5
377,10.5,76.0
378,19.5,75.75
379,25.5,78.75
380,26.5,72.75
381,26.25,94.25
382,19.5,81.75
383,25.25,82.75
384,25.0,81.25
385,15.5,79.0
386,36.0,74.5
387,26.5,89.5
388,24.25,79.0
389,24.75,94.5
390,22.5,79.25
391,25.5,92.75
392,22.75,75.25
393,23.5,73.0
394,28.0,96.75
395,24.75,78.25
396,26.75,77.0
397,27.25,83.5
398,22.5,74.5
399,15.5,73.5
400,17.75,82.0
401,27.25,79.5
402,14.0,75.5
403,26.25,77.75
404,23.5,68.5
405,10.5,78.25
406,27.5,81.25
407,18.0,80.0
408,21.25,82.25
409,29.25,94.25
410,11.75,75.75
411,25.25,93.25
412,31.75,75.5
413,16.75,77.5
414,26.0,92.75
415,36.0,78.75
416,28.5,95.5
417,23.75,73.5
418,12.0,79.5
419,23.5,93.0
420,20.75,81.75
421,16.25,75.5
422,34.25,75.5
423,18.25,76.25
424,16.75,76.25
425,21.75,69.25
426,22.5,84.25
427,34.25,77.5
428,23.75,85.5
429,15.0,76.25
430,21.75,82.25
431,28.0,79.75
432,17.5,80.5
433,19.0,77.25
434,21.25,84.75
435,35.0,76.75
436,30.75,78.25
437,33.75,77.75
438,26.5,83.25
439,17.75,82.5
440,33.25,75.75
441,23.25,74.75
442,21.5,73.25
443,13.25,79.25
444,28.5,79.0
445,36.0,75.75
446,27.5,75.25
447,27.25,97.0
448,34.5,74.5
449,19.5,73.0
450,27.0,95.25
451,26.25,74.0
452,18.75,84.25
453,22.5,71.5
454,27.0,85.5
455,29.0,77.25
456,27.75,75.5
457,22.0,81.25
458,37.0,75.25
459,28.25,75.0
460,28.75,79.0
461,24.75,72.25
462,22.5,80.75
463,26.5,95.0
464,24.0,78.5
465,22.75,88.75
466,25.5,73.0
467,24.75,78.5
468,14.25,75.75
469,18.0,79.75
470,26.5,80.5
471,20.25,86.25
472,36.25,75.5
473,26.75,79.5
474,26.25,89.75
475,21.5,85.5
476,18.0,77.25
477,20.0,79.0
478,25.0,77.5
479,14.25,78.0
480,20.5,79.25
481,26.5,92.75
482,17.0,76.75
483,27.25,82.25
484,25.75,84.25
485,14.5,76.5
486,25.0,79.25
487,19.25,76.25
488,26.75,89.5
489,25.5,90.0
490,19.75,73.25
491,23.75,91.5
492,18.25,78.75
493,19.25,79.0
494,22.0,81.0
495,24.75,86.25
496,25.5,90.5
497,22.75,76.25
498,21.75,87.75
499,30.0,74.5
500,25.5,79.25
501,27.25,93.75
502,19.0,72.75
503,23.5,75.25
504,21.0,73.0
505,29.25,76.75
506,29.75,76.0
507,30.75,76.5
508,27.25,82.5
509,22.0,75.75
510,19.5,82.5
511,25.5,70.75
512,17.25,75.5
513,20.5,74.0
514,27.0,83.5
515,19.25,75.75
516,24.5,73.0
517,16.5,74.75
518,19.0,76.0
519,32.75,76.5
520,20.0,82.25
521,22.25,74.0
522,20.25,80.25
