"rain_sr","temp_sr","lat","lon"
1,NULL,27,80.5
2,NULL,18.75,78.25
3,NULL,22.25,79
4,NULL,23.5,69.75
5,363,28.5,97.5
6,NULL,26,91.25
7,NULL,26.75,72
8,NULL,24,80.5
9,NULL,28.5,72.75
10,NULL,20.25,73
11,364,33.5,73.5
12,NULL,22.25,77.5
13,NULL,15.25,73.75
14,NULL,22.75,83.5
15,NULL,11.75,79
16,NULL,28.75,77.25
17,NULL,23,70.25
18,NULL,15,79.5
19,NULL,19,75.5
20,NULL,33,77.75
21,NULL,33,76.5
22,NULL,20.75,79.25
23,NULL,22.25,81
24,NULL,15,75.75
25,NULL,19.25,72.75
26,NULL,34.75,77.75
27,NULL,27.25,74
28,NULL,22.5,85.75
29,NULL,33.5,75.75
30,NULL,12,78.25
31,NULL,21.25,70
32,NULL,23.25,82.75
33,NULL,23.25,86.25
34,NULL,35.25,73.75
35,NULL,27.5,73
36,NULL,26.25,76.5
37,NULL,35.25,75.5
38,NULL,29.75,80.25
39,NULL,34.75,79.75
40,NULL,26.25,74.5
41,NULL,15,76.5
42,NULL,21,71
43,NULL,15.75,79.75
44,NULL,26.75,85.25
45,NULL,28.5,94
46,NULL,25.75,90.5
47,NULL,18.25,75.75
48,NULL,22.75,80.5
49,NULL,31.25,76.25
50,NULL,24.75,83
51,NULL,22.25,86.75
52,NULL,26.75,90.75
53,NULL,28.75,78.75
54,NULL,26.5,73
55,NULL,16.25,74.25
56,NULL,30,74
57,NULL,27.75,74.75
58,NULL,16.75,75.75
59,NULL,16,75
60,NULL,27.75,96.25
61,NULL,22.25,89
62,NULL,27.75,79.25
63,NULL,32.25,78.5
64,NULL,18.75,73
65,365,22.5,85.5
66,NULL,24.25,76.75
67,NULL,27.75,82.75
68,NULL,27.75,70
69,NULL,25.75,86.25
70,NULL,22,87
71,NULL,28.75,74.5
72,366,11.5,78.5
73,367,20.5,71.5
74,NULL,27.25,76.25
75,NULL,25.75,95
76,NULL,31.75,78.75
77,NULL,22.25,70.75
78,NULL,26.75,73
79,NULL,25.75,85
