time,lat,lon,rain
1951-01-01,18.5,73.75,0.0
1951-01-02,18.5,73.75,0.0
1951-01-03,18.5,73.75,0.0
1951-01-04,18.5,73.75,0.0
1951-01-05,18.5,73.75,0.0
1951-01-06,18.5,73.75,0.0
1951-01-07,18.5,73.75,0.0
1951-01-08,18.5,73.75,0.0
1951-01-09,18.5,73.75,0.0
1951-01-10,18.5,73.75,0.0
1951-01-11,18.5,73.75,0.0
1951-01-12,18.5,73.75,0.0
1951-01-13,18.5,73.75,0.0
1951-01-14,18.5,73.75,0.0
1951-01-15,18.5,73.75,0.0
1951-01-16,18.5,73.75,0.0
1951-01-17,18.5,73.75,0.0
1951-01-18,18.5,73.75,0.0
1951-01-19,18.5,73.75,0.47895917296409607
1951-01-20,18.5,73.75,0.0
1951-01-21,18.5,73.75,0.0
1951-01-22,18.5,73.75,0.0
1951-01-23,18.5,73.75,0.0
1951-01-24,18.5,73.75,0.0
1951-01-25,18.5,73.75,0.0
1951-01-26,18.5,73.75,0.0
1951-01-27,18.5,73.75,0.0
1951-01-28,18.5,73.75,0.0
1951-01-29,18.5,73.75,0.0
1951-01-30,18.5,73.75,0.0
1951-01-31,18.5,73.75,0.0
1951-02-01,18.5,73.75,0.0
1951-02-02,18.5,73.75,0.0
1951-02-03,18.5,73.75,0.0
1951-02-04,18.5,73.75,0.0
1951-02-05,18.5,73.75,0.0
1951-02-06,18.5,73.75,0.0
1951-02-07,18.5,73.75,0.0
1951-02-08,18.5,73.75,0.0
1951-02-09,18.5,73.75,0.0
1951-02-10,18.5,73.75,0.0
1951-02-11,18.5,73.75,0.0
1951-02-12,18.5,73.75,0.0
1951-02-13,18.5,73.75,0.0
1951-02-14,18.5,73.75,0.0
1951-02-15,18.5,73.75,0.0
1951-02-16,18.5,73.75,0.0
1951-02-17,18.5,73.75,0.0
1951-02-18,18.5,73.75,0.0
1951-02-19,18.5,73.75,0.0
1951-02-20,18.5,73.75,0.0
1951-02-21,18.5,73.75,0.0
1951-02-22,18.5,73.75,0.0
1951-02-23,18.5,73.75,0.0
1951-02-24,18.5,73.75,0.0
1951-02-25,18.5,73.75,0.0
1951-02-26,18.5,73.75,0.0
1951-02-27,18.5,73.75,0.0
1951-02-28,18.5,73.75,0.0
1951-03-01,18.5,73.75,0.0
1951-03-02,18.5,73.75,0.0
1951-03-03,18.5,73.75,0.0
1951-03-04,18.5,73.75,0.0
1951-03-05,18.5,73.75,0.0
1951-03-06,18.5,73.75,0.0
1951-03-07,18.5,73.75,0.0
1951-03-08,18.5,73.75,0.0
1951-03-09,18.5,73.75,0.0
1951-03-10,18.5,73.75,0.0
1951-03-11,18.5,73.75,0.0
1951-03-12,18.5,73.75,0.0
1951-03-13,18.5,73.75,0.0
1951-03-14,18.5,73.75,0.0
1951-03-15,18.5,73.75,0.0
1951-03-16,18.5,73.75,0.0
1951-03-17,18.5,73.75,0.0
1951-03-18,18.5,73.75,0.0
1951-03-19,18.5,73.75,0.0
1951-03-20,18.5,73.75,0.0
1951-03-21,18.5,73.75,0.0
1951-03-22,18.5,73.75,0.0
1951-03-23,18.5,73.75,0.0
1951-03-24,18.5,73.75,0.0
1951-03-25,18.5,73.75,0.0
1951-03-26,18.5,73.75,0.0
1951-03-27,18.5,73.75,0.0
1951-03-28,18.5,73.75,0.0
1951-03-29,18.5,73.75,0.0
1951-03-30,18.5,73.75,0.0
1951-03-31,18.5,73.75,0.0
1951-04-01,18.5,73.75,0.0
1951-04-02,18.5,73.75,0.0
